Downloaded from PINT v8.0.0 at 2022/01/19 11:07:33

SELECT RefIncluded.[UID], RefIncluded.[REF], RefIncluded.[IDENT], RefIncluded.[SLAT],RefIncluded.[SLONG], RefIncluded.[AGE], RefIncluded.[DAGE], RefIncluded.[INTM], RefIncluded.[NINT], RefIncluded.[B], RefIncluded.[DB], RefIncluded.[DB%], RefIncluded.[DBN(%)], RefIncluded.[VDM], RefIncluded.[VADM], RefIncluded.[VDM/VADM], RefIncluded.[QAGE], RefIncluded.[QSTAT], RefIncluded.[QTRM],RefIncluded.[QALT],RefIncluded.[QMD], RefIncluded.[QACN], RefIncluded.[QTECH], RefIncluded.[QLITH],RefIncluded.[QMAG],RefIncluded.[QDIR], RefIncluded.[QPI]  FROM PINTmethodsLookup INNER JOIN RefIncluded ON PINTmethodsLookup.[UID] = RefIncluded.[UID] WHERE (RefIncluded.[AGE] >= 0.05) AND (RefIncluded.[AGE] <= 3) AND ((PINTmethodsLookup.[T+]=Yes) OR (PINTmethodsLookup.[LTD-T+]=Yes) OR (PINTmethodsLookup.[LTD-DHT-S]=Yes) OR (PINTmethodsLookup.[M+]=Yes)) AND (RefIncluded.[NINT] >= 3) ORDER BY RefIncluded.[UID];

UID | REF | IDENT | SLAT | SLONG | AGE | DAGE | INTM | NINT | B | DB | DB% | DBN(%) | VDM/VADM | VDM | VADM | QAGE | QSTAT | QTRM | QALT | QMD | QACN | QTECH | QLITH | QMAG | QDIR | QPI
0237 | 26 | RA03 | -21.0 | 55.5 | 0.083 |  | T+ | 5 | 31.900 | 6.300 | 20 | 31.2 |  | 6.630 |  | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2
0239 | 26 | RA05 | -21.0 | 55.5 | 0.085 |  | T+ | 3 | 54.200 | 9.500 | 18 | 31.1 |  | 8.811 |  | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2
0240 | 26 | RA06 | -21.0 | 55.5 | 0.086 | 0.003 | T+ | 4 | 47.900 | 6.900 | 14 | 23.6 |  | 8.087 |  | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2
0241 | 26 | RA07 | -21.0 | 55.5 | 0.087 |  | T+ | 3 | 45.300 | 3.200 | 7 | 12.3 |  | 7.971 |  | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 3
0242 | 26 | RA09 | -21.0 | 55.5 | 0.089 |  | T+ | 4 | 44.000 | 5.100 | 12 | 18.9 |  | 7.712 |  | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 3
0247 | 26 | RA17 | -21.0 | 55.5 | 0.098 | 0.004 | T+ | 3 | 47.800 | 8.200 | 17 | 30.4 |  | 9.874 |  | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 3
0259 | 28 | F72 | 21.4 | 201.9 | 1.9 | 0.1 | T+ | 3 | 41.000 | 3.000 | 7 | 12.7 |  | 5.564 |  | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 3
0260 | 28 | O27 | 21.4 | 201.9 | 3 | 0.4 | T+ | 4 | 23.000 | 9.000 | 39 | 71.1 |  | 5.812 |  | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 2
0261 | 28 | O28 | 21.4 | 201.9 | 3 | 0.4 | T+ | 4 | 41.000 | 5.000 | 12 | 19.9 |  | 10.367 |  | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 2
0262 | 28 | O35 | 21.4 | 201.9 | 3 | 0.4 | T+ | 8 | 7.000 | 1.000 | 14 | 20.5 |  | 1.807 |  | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 3
