lat,lon,feature,zone
32.47242,35.60444,Fault,1
32.52205,35.60788,Fault,1
32.61633,35.61785,Fault,1
32.65209,35.62466,Fault,1
32.68343,35.63455,Fault,1
32.7122,35.64433,Fault,1
32.76523,35.64826,Fault,1
32.76623,35.64645,Fault,1
32.82965,35.64655,Fault,1
32.86641,35.64742,Fault,1
32.89034,35.66054,Fault,1
32.91565,35.68374,Fault,1
32.93208,35.70216,Fault,1
32.95471,35.73341,Fault,1
33.01543,35.63473,Fault,3
33.05718,35.64232,Fault,3
33.08856,35.64951,Fault,3
33.13648,35.65749,Fault,3
33.16797,35.65872,Fault,3
33.20026,35.66009,Fault,3
33.22186,35.66446,Fault,3
33.24366,35.67557,Fault,3
33.25129,35.6823,Fault,3
32.90532,35.56207,Fault,2
32.96011,35.56292,Fault,2
33.034,35.56511,Fault,2
33.09609,35.56949,Fault,2
33.16833,35.57144,Fault,2
33.2213,35.57222,Fault,2
33.25949,35.56863,Fault,2
33.28279,35.5616,Fault,2
33.30925,35.54671,Fault,2
