lon,lat,period,zone
35.73978361,32.94726625,Early Pliocene,1
35.73531518,32.95325781,Early Pliocene,1
35.73325994,32.95290702,Early Pliocene,1
35.73093028,32.95225301,Early Pliocene,1
35.72907355,32.95127303,Early Pliocene,1
35.72727706,32.95074674,Early Pliocene,1
35.72527702,32.9465509,Early Pliocene,1
35.72397435,32.94545738,Early Pliocene,1
35.7214926,32.94415896,Early Pliocene,1
35.71894141,32.94239164,Early Pliocene,1
35.71700756,32.94094906,Early Pliocene,1
35.71556661,32.93892163,Early Pliocene,1
35.71339405,32.93638062,Early Pliocene,1
35.7120684,32.93530214,Early Pliocene,1
35.71019513,32.93422431,Early Pliocene,1
35.7090005,32.93401756,Early Pliocene,1
35.70683978,32.93041895,Early Pliocene,1
35.70477723,32.9279104,Early Pliocene,1
35.70345139,32.92676892,Early Pliocene,1
35.70274793,32.92600645,Early Pliocene,1
35.69693842,32.92265323,Early Pliocene,1
35.69394658,32.92014851,Early Pliocene,1
35.69159876,32.91872056,Early Pliocene,1
35.69039849,32.91706117,Early Pliocene,1
35.68749129,32.91575789,Early Pliocene,1
35.68629428,32.91481546,Early Pliocene,1
35.68372645,32.91284872,Early Pliocene,1
35.68316154,32.91293999,Early Pliocene,1
35.67985559,32.91091942,Early Pliocene,1
35.67664617,32.90791826,Early Pliocene,1
35.67473663,32.90684297,Early Pliocene,1
35.67218599,32.9054066,Early Pliocene,1
35.67211635,32.90495822,Early Pliocene,1
35.67105898,32.90190583,Early Pliocene,1
35.66757867,32.89830054,Early Pliocene,1
35.66622567,32.89712534,Early Pliocene,1
35.66480055,32.89549793,Early Pliocene,1
35.66397885,32.89431806,Early Pliocene,1
35.66189787,32.8911271,Early Pliocene,1
35.66044532,32.88894113,Early Pliocene,1
35.65846056,32.88675498,Early Pliocene,1
35.65648835,32.88454534,Early Pliocene,1
35.65564228,32.88220913,Early Pliocene,1
35.65490996,32.88083362,Early Pliocene,1
35.65401124,32.8780156,Early Pliocene,1
35.6526741,32.87620298,Early Pliocene,1
35.65071325,32.87398781,Early Pliocene,1
35.6499162,32.87215535,Early Pliocene,1
35.64912843,32.87030887,Early Pliocene,1
35.64741989,32.86656177,Early Pliocene,1
35.64725663,32.86512906,Early Pliocene,1
35.6482054,32.86301985,Early Pliocene,1
35.65064301,32.8635728,Early Pliocene,1
35.65445493,32.86582749,Early Pliocene,1
35.65635734,32.86695266,Early Pliocene,1
35.65894824,32.86892154,Early Pliocene,1
35.66090116,32.86994,Early Pliocene,1
35.6634011,32.87089734,Early Pliocene,1
35.66459563,32.87294364,Early Pliocene,1
35.66637516,32.87489013,Early Pliocene,1
35.66755955,32.87759903,Early Pliocene,1
35.6689257,32.87872933,Early Pliocene,1
35.67144295,32.87963912,Early Pliocene,1
35.67387242,32.88012506,Early Pliocene,1
35.6767022,32.87967938,Early Pliocene,1
35.67827903,32.87847095,Early Pliocene,1
35.67868733,32.87568597,Early Pliocene,1
35.68029007,32.87316814,Early Pliocene,1
35.68187363,32.87068914,Early Pliocene,1
35.68266967,32.86887148,Early Pliocene,1
35.68346684,32.86705119,Early Pliocene,1
35.68558736,32.86576936,Early Pliocene,1
35.68782783,32.86477929,Early Pliocene,1
35.69058901,32.86314816,Early Pliocene,1
35.69354902,32.86280229,Early Pliocene,1
35.69551752,32.8641586,Early Pliocene,1
35.69792592,32.8651039,Early Pliocene,1
35.70032822,32.86604675,Early Pliocene,1
35.70270712,32.86705147,Early Pliocene,1
35.7049917,32.86771494,Early Pliocene,1
35.70728953,32.86831956,Early Pliocene,1
35.71064107,32.86817409,Early Pliocene,1
35.71279584,32.86793363,Early Pliocene,1
35.71302443,32.86563287,Early Pliocene,1
35.71268744,32.86352066,Early Pliocene,1
35.71237229,32.86203286,Early Pliocene,1
35.71091096,32.86021014,Early Pliocene,1
35.70854699,32.85914437,Early Pliocene,1
35.7062681,32.85843328,Early Pliocene,1
35.70468163,32.85847086,Early Pliocene,1
35.70139147,32.85830773,Early Pliocene,1
35.69974068,32.8585722,Early Pliocene,1
35.69581214,32.85875485,Early Pliocene,1
35.69277181,32.8580857,Early Pliocene,1
35.69096514,32.85811128,Early Pliocene,1
35.68725623,32.8577303,Early Pliocene,1
35.68496458,32.85698723,Early Pliocene,1
35.68156624,32.85579112,Early Pliocene,1
35.67978767,32.85507968,Early Pliocene,1
35.67792698,32.85336057,Early Pliocene,1
35.67604321,32.8516922,Early Pliocene,1
35.67528918,32.84983966,Early Pliocene,1
35.67510193,32.84789414,Early Pliocene,1
35.67491506,32.84595208,Early Pliocene,1
35.67651512,32.84470037,Early Pliocene,1
35.67933065,32.84423151,Early Pliocene,1
35.68061319,32.84313661,Early Pliocene,1
35.68399843,32.8425066,Early Pliocene,1
35.68713626,32.84359533,Early Pliocene,1
35.68938414,32.8437824,Early Pliocene,1
35.69182004,32.84470742,Early Pliocene,1
35.69371202,32.84567487,Early Pliocene,1
35.69550542,32.84627261,Early Pliocene,1
35.69810227,32.84791961,Early Pliocene,1
35.70041793,32.84846746,Early Pliocene,1
35.70264126,32.8486507,Early Pliocene,1
35.70435538,32.8494469,Early Pliocene,1
35.70605416,32.84963603,Early Pliocene,1
35.70994621,32.85009232,Early Pliocene,1
35.71214715,32.8503406,Early Pliocene,1
35.71428478,32.85015031,Early Pliocene,1
35.71708851,32.85076988,Early Pliocene,1
35.71929985,32.8509667,Early Pliocene,1
35.72156997,32.85161747,Early Pliocene,1
35.72322213,32.85200269,Early Pliocene,1
35.72502557,32.85310665,Early Pliocene,1
35.72720781,32.85350209,Early Pliocene,1
35.73057541,32.85484663,Early Pliocene,1
35.73334732,32.85591498,Early Pliocene,1
35.73553778,32.85652445,Early Pliocene,1
35.73881738,32.85534696,Early Pliocene,1
35.7404329,32.85503724,Early Pliocene,1
35.73964701,32.85335193,Early Pliocene,1
35.73819747,32.85087242,Early Pliocene,1
35.73753395,32.85007892,Early Pliocene,1
35.73608132,32.84759414,Early Pliocene,1
35.73583308,32.84580194,Early Pliocene,1
35.73558478,32.8440096,Early Pliocene,1
35.7352811,32.84168655,Early Pliocene,1
35.73557974,32.83971631,Early Pliocene,1
35.73521614,32.8369308,Early Pliocene,1
35.73593303,32.8339346,Early Pliocene,1
35.73622014,32.83210371,Early Pliocene,1
35.73644369,32.82985151,Early Pliocene,1
35.7367309,32.82802278,Early Pliocene,1
35.73748529,32.82579334,Early Pliocene,1
35.7371645,32.82370116,Early Pliocene,1
35.73690956,32.82199892,Early Pliocene,1
35.73460403,32.82164944,Early Pliocene,1
35.73235718,32.82069,Early Pliocene,1
35.7301749,32.82024241,Early Pliocene,1
35.72754267,32.82020008,Early Pliocene,1
35.72395962,32.82126292,Early Pliocene,1
35.72144762,32.82298606,Early Pliocene,1
35.71947592,32.82533643,Early Pliocene,1
35.71695546,32.82775227,Early Pliocene,1
35.71535286,32.82786439,Early Pliocene,1
35.71199217,32.82865459,Early Pliocene,1
35.70970663,32.82796753,Early Pliocene,1
35.70847766,32.82595392,Early Pliocene,1
35.70671897,32.82526833,Early Pliocene,1
35.70427052,32.8225597,Early Pliocene,1
35.70193243,32.82081647,Early Pliocene,1
35.69962198,32.81962373,Early Pliocene,1
35.69903955,32.81918927,Early Pliocene,1
35.69618778,32.81865428,Early Pliocene,1
35.69337375,32.8186075,Early Pliocene,1
35.69112614,32.81843701,Early Pliocene,1
35.68831721,32.8183567,Early Pliocene,1
35.68551932,32.81880992,Early Pliocene,1
35.68216532,32.81932672,Early Pliocene,1
35.6799175,32.81968118,Early Pliocene,1
35.67761874,32.81955525,Early Pliocene,1
35.67422781,32.82008886,Early Pliocene,1
35.67191585,32.82051219,Early Pliocene,1
35.67027642,32.81904346,Early Pliocene,1
35.66882298,32.8178698,Early Pliocene,1
35.66716424,32.81472182,Early Pliocene,1
35.6683338,32.81236671,Early Pliocene,1
35.67147193,32.81054761,Early Pliocene,1
35.67402289,32.80884994,Early Pliocene,1
35.67607023,32.8076914,Early Pliocene,1
35.67750783,32.80616466,Early Pliocene,1
35.67896384,32.80461077,Early Pliocene,1
35.67926917,32.80222984,Early Pliocene,1
35.6790301,32.79992618,Early Pliocene,1
35.67879103,32.79815082,Early Pliocene,1
35.67845407,32.79650329,Early Pliocene,1
35.67811616,32.79485116,Early Pliocene,1
35.67657796,32.79294571,Early Pliocene,1
35.6756884,32.79083469,Early Pliocene,1
35.6749275,32.78960275,Early Pliocene,1
35.6740538,32.78746619,Early Pliocene,1
35.67328095,32.78573054,Early Pliocene,1
35.67376533,32.7836917,Early Pliocene,1
35.67524357,32.78213242,Early Pliocene,1
35.67747497,32.78181023,Early Pliocene,1
35.67913634,32.78157717,Early Pliocene,1
35.68244413,32.78111759,Early Pliocene,1
35.68513848,32.78182657,Early Pliocene,1
35.68740791,32.78194595,Early Pliocene,1
35.6882797,32.78103871,Early Pliocene,1
35.68840357,32.77941769,Early Pliocene,1
35.6879164,32.7769002,Early Pliocene,1
35.68676455,32.77607755,Early Pliocene,1
35.68449254,32.7749145,Early Pliocene,1
35.68225997,32.77422203,Early Pliocene,1
35.68001007,32.77304345,Early Pliocene,1
35.67770618,32.77192036,Early Pliocene,1
35.67541246,32.77128559,Early Pliocene,1
